slug, date, minutes
tests-results, 2019-08-26T09:30:00.000Z,45
user-class-for-banking-system,2019-08-27T09:30:00.000Z,45
sql-with-sailor-moon-thinking-about-joins-dot-dot-dot,2019-08-28T09:30:00.000Z,45
sql-basics-monsters-using-case,2019-08-29T09:30:00.000Z,45
the-deaf-rats-of-hamelin,2019-08-30T09:30:00.000Z,45
alphabet-war,2019-09-03T09:30:00.000Z,45
sorting-by-bits,2019-09-04T09:30:00.000Z,45
simple-fun-number-312-maximum-product,2019-09-05T09:30:00.000Z,45
80-s-kids-number-2-help-alf-find-his-spaceship,2019-09-06T09:30:00.000Z,45
scraping-get-the-year-a-codewarrior-joined,2019-09-09T09:30:00.000Z,45
prize-draw,2019-09-10T09:30:00.000Z,45
vector-class,2019-09-12T09:30:00.000Z,45
street-fighter-2-character-selection,2019-09-13T09:30:00.000Z,45
complete-the-table-pattern,2019-09-16T09:30:00.000Z,45
schrodingers-boolean,2019-09-17T09:30:00.000Z,45
fibonacci-tribonacci-and-friends,2019-09-18T09:30:00.000Z,45
ackermann-function,2019-09-19T09:30:00.000Z,45
unknown-amount-of-duplicates-one-missing-number,2019-09-20T09:30:00.000Z,45
int32-to-ipv4,2019-09-23T09:30:00.000Z,45
write-your-own-pseudorandom-number-generator,2019-09-24T09:30:00.000Z,45
the-supermarket-queue,2019-09-25T09:30:00.000Z,45
count-the-smiley-faces,2019-09-26T09:30:00.000Z,45
pete-the-baker,2019-09-27T09:30:00.000Z,45
sql-basics-top-10-customers-by-total-payments-amount,2019-10-02T09:30:00.000Z,45
perimeter-of-squares-in-a-rectangle,2019-10-03T09:30:00.000Z,45
fixme-hello,2019-10-04T09:30:00.000Z,45
